Date,VNQ,IHI,VHT,XLI,XLK,IYE,XLY,XLP,New Covid19 Cases
2022/2/8,103.15,60.17,246.76,100.41,159.79,35.63,185.89,75.41,199481
2022/2/9,105.49,61.21,249.73,101.79,163.33,36.02,188.35,75.43,197382
2022/2/10,103.00,60.30,245.82,100.13,159.06,35.76,185.11,74.62,168069
2022/2/11,102.06,59.04,242.26,98.60,154.20,36.74,179.79,74.35,155575
2022/2/14,101.13,58.29,239.82,98.23,154.15,35.91,180.81,74.14,174424
2022/2/15,102.04,59.18,243.12,99.71,158.21,35.57,184.86,74.27,109633
2022/2/16,102.51,58.89,242.99,100.24,158.05,35.85,185.39,74.41,106804
2022/2/17,101.43,57.31,238.45,98.40,153.32,35.77,180.42,74.98,100965
2022/2/18,100.81,56.60,236.56,97.59,151.76,35.46,179.31,75.12,103951
2022/2/22,100.45,56.98,235.63,96.64,150.36,34.88,174.08,74.54,115901
2022/2/23,98.79,56.70,233.80,94.87,146.60,35.16,168.26,73.94,74432
2022/2/24,100.45,58.14,236.06,96.08,151.61,35.09,172.11,72.66,74948
2022/2/25,102.87,59.58,242.94,98.37,153.67,36.04,175.51,75.00,75132
2022/2/28,101.34,59.14,241.42,99.12,153.39,37.03,176.75,74.01,72131
2022/3/1,100.80,58.71,240.12,97.65,150.32,37.39,174.07,73.57,42469
2022/3/2,102.69,59.63,243.79,99.73,153.58,38.16,177.73,74.35,53316
2022/3/3,103.53,59.67,244.09,99.84,151.74,38.17,173.70,74.95,51922
2022/3/4,104.00,59.63,244.51,99.62,149.09,39.27,170.94,74.96,42787
2022/3/7,101.95,58.16,240.37,96.95,143.63,39.83,162.56,73.60,55550
2022/3/8,101.46,56.32,235.74,96.35,142.93,40.42,162.90,71.61,30404
2022/3/9,103.02,57.60,240.68,98.10,148.59,39.27,168.14,72.10,46355
2022/3/10,103.27,57.07,240.46,97.97,145.99,40.42,169.34,71.42,39556
2022/3/11,102.45,55.94,237.68,97.19,143.42,40.04,166.08,70.59,36887
2022/3/14,101.65,55.78,238.17,97.52,140.76,38.79,163.31,70.96,39139
2022/3/15,102.33,57.04,242.83,99.06,145.49,37.52,168.78,72.55,25046
2022/3/16,103.55,58.61,246.79,100.37,150.22,37.47,174.54,72.63,38376
2022/3/17,105.15,59.71,251.42,101.66,151.29,38.75,177.45,73.14,33524
2022/3/18,105.15,60.49,253.33,102.05,154.38,38.77,181.18,73.30,30321
2022/3/21,104.51,60.12,252.69,102.28,154.09,40.26,179.66,73.40,39020
2022/3/22,104.78,60.30,253.20,102.84,156.30,40.05,184.12,73.94,25290
2022/3/23,103.60,58.34,248.15,101.85,153.90,40.74,181.84,73.35,36386
2022/3/24,104.26,59.11,251.52,102.63,157.90,40.86,183.26,73.87,33385
2022/3/25,105.56,59.60,252.09,103.27,157.81,41.82,182.94,74.48,27804
2022/3/28,106.68,60.42,254.03,103.30,159.69,40.79,187.82,74.79,33034
2022/3/29,109.81,61.47,256.22,104.25,163.08,40.68,191.09,75.45,22153
2022/3/30,109.02,61.41,256.33,104.13,160.90,41.13,188.18,75.50,39670
2022/3/31,107.68,60.91,253.52,102.53,158.52,40.63,184.57,75.32,35327
2022/4/1,109.78,61.68,256.77,101.73,158.05,40.99,184.80,76.08,27655
2022/4/4,109.24,61.00,255.12,101.60,161.05,41.12,188.95,75.84,27777
2022/4/5,108.71,60.88,254.94,100.16,157.66,40.45,184.52,75.91,33349
2022/4/6,110.00,60.95,258.21,99.38,153.93,40.55,179.81,76.87,43435
2022/4/7,108.91,62.14,262.60,99.72,154.17,41.05,180.73,77.81,34388
2022/4/8,109.09,62.02,263.58,99.16,152.01,42.08,179.07,78.13,42010
2022/4/11,107.91,60.37,258.09,98.85,148.18,40.80,175.74,77.82,35063
2022/4/12,107.75,59.67,255.91,98.69,147.53,41.43,176.13,77.84,28465
2022/4/13,108.52,60.29,257.79,99.61,149.90,42.04,180.51,78.27,47096
2022/4/14,108.05,59.47,256.24,99.50,146.26,42.17,177.99,78.25,64349
2022/4/18,107.61,58.74,252.72,99.15,146.74,42.81,178.53,77.61,37178
2022/4/19,109.96,60.45,255.41,100.96,149.49,42.50,183.71,78.79,54079
2022/4/20,111.79,61.80,258.48,101.50,149.35,42.57,181.34,79.97,60067
2022/4/21,111.01,60.77,255.00,100.47,146.82,41.15,179.58,79.90,53858
2022/4/22,109.07,57.74,245.97,98.00,142.71,40.15,175.41,78.65,70594
2022/4/25,108.79,57.90,247.74,98.00,144.85,38.84,176.68,79.00,52355
2022/4/26,107.00,55.94,242.39,95.86,139.46,38.84,167.74,77.78,65367
2022/4/27,106.29,55.52,241.93,96.22,141.52,39.46,167.76,78.06,79971
2022/4/28,108.25,56.37,244.62,97.30,147.19,40.65,171.20,79.22,65023
2022/4/29,103.28,54.97,238.67,94.72,141.05,39.65,162.50,77.06,86344
2022/5/2,100.79,54.80,237.96,94.92,143.20,40.19,164.88,76.05,65064
2022/5/3,102.04,54.92,238.57,95.55,143.45,41.38,164.47,75.83,75464
2022/5/4,103.21,56.29,243.72,98.32,148.48,43.15,169.30,77.54,104639
2022/5/5,100.46,54.71,238.19,95.75,141.34,42.43,159.81,76.07,85937
2022/5/6,99.27,53.71,236.54,95.10,140.21,43.50,157.79,76.15,102625
2022/5/9,94.90,51.02,229.26,92.80,134.78,39.86,151.06,76.12,109217
2022/5/10,93.17,51.30,230.80,92.20,136.83,40.17,150.61,75.59,101480
2022/5/11,92.97,50.73,228.32,91.36,132.52,40.56,145.21,75.26,133456
2022/5/12,93.69,51.29,230.78,91.53,131.15,40.72,146.21,75.24,105544
2022/5/13,96.17,52.73,234.29,92.69,135.51,42.17,151.97,76.38,121650
2022/5/16,95.56,52.68,235.76,92.56,134.31,43.18,148.69,76.72,118708
2022/5/17,96.86,54.16,239.64,94.66,138.20,43.75,152.44,76.20,130028
2022/5/18,94.05,52.71,233.11,91.14,131.88,42.63,142.47,71.29,151074
2022/5/19,93.63,52.98,233.85,90.32,130.43,42.49,142.57,70.02,116658
2022/5/20,94.23,53.21,236.67,89.35,130.72,42.69,140.09,70.17,157332
2022/5/23,95.32,53.80,238.53,90.81,133.72,43.81,141.13,71.62,113240
2022/5/24,96.13,53.31,238.51,90.76,131.74,43.92,137.50,72.79,134503
2022/5/25,96.94,53.13,238.73,91.29,133.27,44.87,141.38,72.81,160861
2022/5/26,97.06,53.35,240.07,93.14,136.48,45.42,148.32,73.59,119038
2022/5/27,99.67,54.72,244.46,95.05,141.09,46.36,153.41,74.44,153261
2022/5/31,98.44,54.38,240.96,94.29,140.09,45.61,154.18,73.91,158322
2022/6/1,97.63,53.08,237.20,93.71,139.67,46.42,152.58,72.95,143444
2022/6/2,98.97,54.55,239.94,95.50,143.05,46.41,157.25,74.01,116052
2022/6/3,97.65,53.33,237.47,95.13,139.63,47.00,152.65,73.27,146655
2022/6/6,97.34,53.26,237.17,95.53,139.64,47.00,154.17,73.30,101467
2022/6/7,98.68,53.88,240.51,96.81,141.30,48.49,153.79,73.69,153218
2022/6/8,96.41,53.29,238.81,95.06,139.71,48.44,152.89,72.78,151521
2022/6/9,94.12,51.96,233.16,93.19,135.98,47.31,150.12,71.69,109489
2022/6/10,92.03,51.17,229.15,90.44,130.75,46.50,144.14,71.38,151332
2022/6/13,87.43,49.30,221.83,87.72,124.96,43.99,137.48,69.85,93424
2022/6/14,86.77,48.27,219.95,87.51,125.74,44.06,137.37,69.02,138615
2022/6/15,88.82,48.89,222.40,88.35,128.40,43.22,141.23,69.09,147540
2022/6/16,86.49,47.65,218.77,85.41,123.17,40.73,134.32,68.57,101879
2022/6/17,87.14,47.75,219.47,85.19,124.30,38.66,135.79,68.32,129199
2022/6/21,88.36,48.45,225.15,86.74,127.46,40.63,139.67,70.14,187347
2022/6/22,89.48,49.01,228.44,86.26,126.92,39.02,139.40,70.09,136555
2022/6/23,91.18,50.17,234.21,85.82,128.82,37.64,141.59,71.45,107847
2022/6/24,93.12,51.34,238.19,88.82,133.45,38.21,146.99,72.85,167897
2022/6/27,92.98,51.23,238.95,88.61,132.55,39.32,145.45,72.65,98217
2022/6/28,91.85,50.31,234.64,87.58,128.58,40.31,139.64,71.68,156082
2022/6/29,91.28,50.78,236.47,87.07,128.84,38.92,139.53,72.13,152617
2022/6/30,91.11,50.44,235.50,87.34,127.12,38.12,137.48,72.18,118065
2022/7/1,92.75,51.39,238.50,88.10,127.41,38.62,140.01,73.22,172854
2022/7/5,92.49,51.36,238.15,86.78,129.01,37.08,143.14,72.75,170527
2022/7/6,92.32,51.35,239.42,87.28,130.12,36.40,142.67,72.96,146470
2022/7/7,92.57,51.73,241.21,88.31,132.81,37.84,146.35,73.03,120941
2022/7/8,92.08,51.66,242.00,87.91,132.87,37.88,146.37,72.90,177020
2022/7/11,91.88,51.28,240.54,87.32,131.04,37.47,142.36,72.80,124163
2022/7/12,91.52,50.37,237.65,87.05,129.25,36.70,141.50,72.59,184593
2022/7/13,91.08,49.91,235.82,85.99,128.91,36.71,142.66,72.64,157887
2022/7/14,90.26,49.87,234.92,85.50,130.09,36.07,142.54,72.70,141946
2022/7/15,91.79,51.01,240.30,86.84,132.38,36.68,144.84,72.94,187364
2022/7/18,91.14,49.98,235.27,86.32,131.10,37.47,145.26,72.23,109038
2022/7/19,93.50,51.41,239.60,89.40,135.10,38.68,149.71,72.99,180027
2022/7/20,93.28,51.52,238.06,90.09,137.21,39.19,152.17,72.50,162645
2022/7/21,94.02,53.07,241.62,90.74,139.14,38.59,155.65,72.72,151154
2022/7/22,94.51,52.36,240.15,90.45,137.22,38.19,154.75,73.20,184683
2022/7/25,94.67,52.42,241.26,90.88,136.35,39.64,153.42,73.56,113900
2022/7/26,94.77,52.70,242.33,90.39,134.14,39.36,148.48,73.39,167720
2022/7/27,95.34,53.72,244.39,91.79,139.91,40.35,154.10,73.89,160469
2022/7/28,98.43,54.25,245.69,93.71,142.04,40.64,156.75,75.07,145815
2022/7/29,98.96,53.74,244.79,95.64,144.22,42.37,162.83,74.49,165133
